iter	RMSE
0	1555.027843
1	1507.512202
2	1466.492784
3	1460.425255
4	1422.007519
5	1396.012565
6	1369.20992
7	1340.747831
8	1321.10559
9	1297.592581
10	1282.501096
11	1268.172933
12	1249.242387
13	1235.662348
14	1220.938068
15	1214.437631
16	1207.865097
17	1203.708283
18	1201.420458
19	1199.079786
20	1192.24903
21	1184.645908
22	1174.494795
23	1164.067792
24	1150.330344
25	1143.988948
26	1142.963971
27	1139.350854
28	1134.425454
29	1132.333539
30	1124.399112
31	1121.120847
32	1118.262229
33	1116.438463
34	1111.451782
35	1108.500481
36	1104.901232
37	1097.926303
38	1089.9821
39	1088.144389
40	1081.507004
41	1078.286964
42	1070.751629
43	1064.799182
44	1059.561924
45	1059.05043
46	1054.781594
47	1047.526828
48	1043.717084
49	1041.97102
50	1037.526091
51	1034.342082
52	1028.663302
53	1021.352574
54	1014.446726
55	1013.919468
56	1006.978528
57	1001.496863
58	997.7313914
59	994.3162354
60	993.33667
61	988.733952
62	984.3066475
63	982.364536
64	978.4796527
65	975.8313074
66	970.0275113
67	968.9395839
68	963.8760993
69	963.6664609
70	961.4200716
71	959.3934863
72	955.3345096
73	953.4830205
74	949.6450896
75	946.5961698
76	946.4857011
77	943.2312343
78	940.6102841
79	938.4208042
80	936.7904211
81	936.5083988
82	934.5399177
83	932.0671566
84	929.921425
85	927.7751633
86	927.0458982
87	925.41505
88	923.8534576
89	922.4219985
90	921.0821299
91	920.8746637
92	919.7415433
93	919.5648976
94	918.4258399
95	917.8102503
96	914.8403493
97	914.4498141
98	912.917672
99	911.9582071
100	909.3963594
101	908.0590184
102	906.7630653
103	905.8186864
104	904.0176942
105	901.9470272
106	899.8163799
107	899.6855796
108	899.0690014
109	898.3910545
110	897.3967692
111	896.9447633
112	896.2795564
113	896.1509089
114	894.8001898
115	894.0478994
116	893.1946922
117	893.0627655
118	892.9617069
119	892.7822542
120	892.3803991
121	891.8768847
122	891.4527591
123	891.0888884
124	890.3081876
125	890.2233468
126	889.2874486
127	888.6394138
128	888.4668861
129	887.5386297
130	887.2033629
131	886.5033657
132	886.4126223
133	885.6318071
134	885.5389687
135	885.4528927
136	884.8834972
137	884.8095248
138	884.1895164
139	884.1209411
140	883.5528879
141	883.0368649
142	882.9652516
143	882.7154751
144	881.8310476
145	881.1431608
146	880.6254983
147	880.3296329
148	879.9152274
149	879.8427739
150	879.7569316
151	879.4015111
152	879.0519433
153	878.1703869
154	877.3874318
155	876.3685475
156	875.7281066
157	875.3004478
158	875.0077952
159	874.7572407
160	873.7737696
161	873.1058658
162	872.8980466
163	872.6427925
164	871.845464
165	871.7121669
166	871.0897138
167	870.9229764
168	870.7721796
169	870.6724215
170	870.5252
171	870.401554
172	869.9281835
173	869.3399945
174	868.6689291
175	868.6190879
176	867.9825698
177	867.9467639
178	867.5417487
179	867.4971703
180	867.0142386
181	866.7234403
182	866.6604005
183	866.3548287
184	866.0706789
185	866.0355709
186	865.9987774
187	865.8123179
188	865.6153933
189	865.4677861
190	865.2198761
191	864.7994933
192	864.7485182
193	864.7213222
194	864.5032691
195	864.3405653
196	864.1272915
197	864.0354949
198	863.8676639
199	863.7968664
