iter	Passed	Remaining
0	57	11442
1	57	5705
2	57	3791
3	57	2831
4	57	2258
5	58	1875
6	58	1602
7	58	1397
8	58	1238
9	58	1110
10	58	1005
11	58	918
12	58	844
13	58	781
14	58	726
15	59	678
16	59	636
17	59	599
18	59	565
19	59	534
20	59	507
21	59	482
22	59	459
23	59	438
24	59	419
25	60	401
26	60	385
27	60	369
28	60	355
29	60	342
30	60	329
31	60	318
32	60	307
33	60	296
34	60	286
35	60	277
36	61	269
37	61	260
38	61	253
39	61	245
40	61	238
41	61	231
42	61	225
43	61	219
44	61	213
45	61	207
46	62	202
47	62	196
48	62	191
49	62	187
50	62	182
51	62	178
52	62	173
53	62	169
54	62	165
55	62	161
56	63	158
57	63	154
58	63	151
59	63	147
60	63	144
61	63	141
62	63	138
63	63	135
64	63	132
65	63	129
66	64	127
67	64	124
68	64	121
69	64	119
70	64	117
71	64	114
72	64	112
73	64	110
74	64	107
75	65	107
76	65	105
77	65	102
78	65	100
79	66	99
80	66	97
81	66	95
82	66	93
83	66	91
84	66	90
85	66	88
86	66	86
87	66	85
88	66	83
89	67	81
90	67	80
91	67	78
92	67	77
93	67	76
94	67	74
95	67	73
96	67	71
97	67	70
98	67	69
99	68	68
100	68	66
101	68	65
102	68	64
103	68	63
104	68	62
105	68	60
106	68	59
107	68	58
108	68	57
109	69	56
110	69	55
111	69	54
112	69	53
113	69	52
114	69	51
115	69	50
116	69	49
117	69	48
118	69	47
119	69	46
120	70	45
121	70	44
122	70	43
123	70	43
124	70	42
125	70	41
126	70	40
127	70	39
128	70	38
129	70	38
130	71	37
131	71	36
132	71	35
133	71	35
134	71	34
135	71	33
136	71	32
137	71	32
138	71	31
139	71	30
140	72	30
141	72	29
142	72	28
143	72	28
144	72	27
145	72	26
146	72	26
147	72	25
148	72	24
149	72	24
150	72	23
151	73	23
152	73	22
153	73	21
154	73	21
155	73	20
156	73	20
157	73	19
158	73	18
159	73	18
160	73	17
161	73	17
162	74	16
163	74	16
164	74	15
165	74	15
166	74	14
167	74	14
168	74	13
169	74	13
170	74	12
171	74	12
172	74	11
173	75	11
174	75	10
175	75	10
176	75	9
177	75	9
178	75	8
179	75	8
180	75	7
181	75	7
182	75	7
183	75	6
184	76	6
185	76	5
186	76	5
187	76	4
188	76	4
189	76	4
190	76	3
191	76	3
192	76	2
193	76	2
194	76	1
195	77	1
196	77	1
197	77	0
198	77	0
199	77	0
