price,rating,title,brand,display_size,calling,heart_monitor,battery_days
1199,0.0,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",0,6.42816,1,0,6
1399,3.0,Fire-Boltt Hurricane 33.02mm (1.3) Curved Glass Display...,3,33.02,0,0,6
717,0.0,TECHIO H9 PRO MAX SMART WATCH Smartwatch,0,6.42816,0,0,12
999,2.9,Fire-Boltt Ninja Calling Pro 42.9mm (1.69) Bluetooth Ca...,3,42.9,1,0,10
874,1.9,"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calli...",0,1.99,0,0,12
1199,1.9,"Fire-Boltt Rise X 1.96 Always On Display, Wireless Char...",3,1.96,0,0,11
630,0.0,Yash Enterprises 7 in 1 smart watch 5G Network Smartwat...,0,6.42816,0,0,10
497,2.0,"RKLS T900 Ultra 2.09""BIG Screen BT Calling Smartwatch W...",0,2.09,1,0,9
1099,5.3,Fire-Boltt Talk 35.3mm (1.39) Bluetooth Calling with Sp...,3,35.3,1,0,10
851,1.9,"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calli...",0,1.99,0,0,5
1499,1.3,"GOBOULT Dire 1.38'' 2.5D HD Display, 500Nits Brightness...",0,1.38,0,0,10
1499,1.9,"GOBOULT Tuff Rivet 1.9'' HD Display, Working Crown , Qu...",0,1.9,0,0,13
999,2.0,"boAt 3 w/ Turn By Turn Navigation, 2.01"" Screen, Crest ...",2,2.01,0,0,5
846,1.9,"GameSir Edge-Lite | 1.99 "" Amoled Display | BT Calling ...",0,1.99,1,0,7
1499,1.3,Bestseller,0,6.42816,0,0,13
4999,1.4,"GOBOULT Mustang Stallion 1.43"" AMOLED Display, Function...",0,1.43,0,0,5
1099,6.5,Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,3,46.5,1,0,6
1199,1.8,Fire-Boltt Rise Bluetooth Calling 47mm (1.85) & Rotatin...,3,1.85,1,0,12
1299,1.8,"Fire-Boltt Rise Luxe Bluetooth Calling 47mm (1.85), Met...",3,1.85,1,0,13
1399,3.0,Bestseller,0,6.42816,0,0,6
1299,5.3,Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,3,35.3,0,0,5
1299,1.8,"Fire-Boltt Rise Luxe Stainless Steel Luxury, 47mm (1.85...",3,1.85,0,0,12
1299,1.8,Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,4,1.83,0,0,13
1199,1.8,Fire-Boltt Rise Phantom 1.85 Display Transparent Clear ...,3,1.85,0,0,14
799,1.8,"Cellecor STEW 1.83"" BT Calling, 500 NITS, AI Voice Assi...",0,1.83,1,0,7
1299,1.8,"Fire-Boltt Ninja Blaze 1.83"" HD Display Stainless Steel...",3,1.83,0,0,14
899,2.0,"Cellecor E5 Connect 2.01"" IPS HD Display | 700 NITS | B...",0,2.01,0,0,13
2799,1.4,"GOBOULT Saber 1.43"" AMOLED Screen, Rotating Bezel, 700 ...",0,1.43,0,0,5
862,1.9,"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calli...",0,1.99,0,0,13
879,0.0,PunnkFunnk T500 Ultra Metal Silver Smartwatch with Blue...,0,6.42816,0,0,8
779,0.0,Waunset H9 A1 Full Screen Touch Watch Specially Made fo...,0,6.42816,0,0,14
799,1.9,"Cellecor 1.91"" HD Display | 600 NITS | BT-Calling | AI ...",0,1.91,1,0,10
1499,1.3,Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,4,1.38,1,0,10
999,5.3,Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,3,35.3,0,0,5
1099,5.3,Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,3,35.3,0,0,12
1499,1.3,Fastrack XR1-1.38|BT Calling|Fast Charge|100+ Sports Mo...,4,1.38,1,0,10
1399,5.3,Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,3,35.3,0,0,10
1499,1.8,Fastrack Revoltt X-1.83|Blazing Fast UI|Single Sync BT ...,4,1.83,0,0,10
1399,1.8,Fastrack Revoltt FS1-1.83''|BT Calling|Fast Charge|110+...,4,1.83,1,0,5
1299,5.3,Fire-Boltt Talk 35.3mm (1.39) Bluetooth Calling with Sp...,3,35.3,1,0,7
1399,1.8,Fastrack FS1-1.83''|BT Calling|Fast Charge|110+ Sports ...,4,1.83,1,0,13
1099,1.8,"Noise ColorFit Caliber 2 with 1.83'' Display, Upto 12 D...",1,1.83,0,0,12
456,0.0,Yash Enterprises Ultra Smartwatch,0,6.42816,0,0,9
1099,1.8,Fire-Boltt Rise Bluetooth Calling 47mm (1.85) & Rotatin...,3,1.85,1,0,11
1399,1.3,"boAt Lunar Discovery Neo 1.39"" HD Display, Metallic Fin...",2,1.39,0,0,9
2099,1.9,"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...",1,1.96,0,0,10
1199,2.0,Fire-Boltt Ring X 2.01inch HD | Always-On Display | Met...,3,2.01,0,0,9
899,1.5,"Cellecor HYPE 1.50"" HD IPS Display with 500 NITS | BT-C...",0,1.5,0,0,5
1599,1.3,"boAt Lunar Discovery Neo 1.39"" HD Display, Metallic Fin...",2,1.39,0,0,5
1499,1.6,"Noise Icon Buz 1.69"" Display with Bluetooth Calling, Bu...",1,1.69,1,0,11
2499,1.4,Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fa...,4,1.43,0,0,12
1399,1.8,"Noise Icon 2 2025 - 1.81"" Display, 500 NITS BrightnessB...",1,1.81,0,0,7
1599,1.3,"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...",1,1.39,1,0,6
1499,1.8,Fastrack Revoltt FS1-1.83''|BT Calling|Fast Charge|110+...,4,1.83,1,0,9
895,0.0,"GameSir H9 Black Smartwatch with Bluetooth, Fitness & H...",0,6.42816,0,0,14
1499,1.8,Fastrack FS1-1.83''|BT Calling|Fast Charge|110+ Sports ...,4,1.83,1,0,13
1154,2.0,"GameSir H9 Silver Full Screen Touch Watch, Bluetooth ca...",0,6.42816,0,0,11
2999,1.4,Noise Evolve 4 1.46 AMOLED Always On Display with Premi...,1,1.46,0,0,7
1499,0.0,Fire-Boltt ONYX Smartwatch,3,6.42816,0,0,8
999,2.0,"Cellecor TWIST 2.01"" Curved HD Display | 800 NITS| AOD|...",0,2.01,0,0,10
799,1.9,"Cellecor M4 RUSH 1.91"" HD Display | 600 NITS | BT-Calli...",0,1.91,0,0,14
1699,2.0,"boAt Wave Sigma 3 Curv, 2.01"" Immersive Curved Display,...",2,2.01,0,0,14
880,0.0,GameSir T800 Ultra Metal Silver Smartwatch with Bluetoo...,0,6.42816,0,0,8
1499,1.9,"Noise Pulse 3 1.96'' Display, BT Calling, 100 Sports Mo...",1,1.96,1,0,5
2699,0.0,"REDMI Watch 5 Active BT Calling 3 mic,2""HD Screen,18 da...",0,6.42816,1,0,13
33999,0.0,"Samsung Galaxy Watch8 Classic (46mm, LTE)",0,6.42816,0,0,7
1499,3.5,"boAt Lunar Discovery w/ Turn by Turn Navigation, 3.53 c...",2,3.53,0,0,9
1499,1.3,"boAt Lunar Discovery Pro, 1.39""Display, Premium Metal B...",2,1.39,0,0,10
1699,1.3,Fire-Boltt Brillia 51.3mm (2.02 inch) Largest AMOLED Di...,3,51.3,0,0,9
1699,1.3,"boAt Lunar Discovery Pro, 1.39""Display, Premium Metal B...",2,1.39,0,0,10
1449,0.0,"boAt Storm Call 3 Plus w/ Turn by Turn Navigation, QR T...",2,6.42816,0,0,12
