calling,calories,heart_monitor,image,period_tracking,price,rating,sleep_tracking,step_counter,title,waterproof,amoled,bluetooth,sports_modes,touchscreen,brand,display_size,battery_days
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/w/6/-original-imaheeb4qgjf4fpa.jpeg?q=70,0,1199,0.0,0,0,"goboult drift bt calling hd display, 140+ watchface, bt...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/k/v/t/-original-imaha8kajdv9tf7n.jpeg?q=70,0,1099,6.5,0,0,fire-boltt ninja calling pro plus 46.5mm (1.83) display...,0,0,0,0,0,3,46.5,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/n/j/34-h9-smart-watch-003-android-ios-techio-yes-original-imahghyfxcmy4vhr.jpeg?q=70,0,717,0.0,0,0,techio h9 pro max smart watch smartwatch,0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/6/d/d/-original-imahgnsvr8uqbahf.jpeg?q=70,0,999,2.9,0,0,fire-boltt ninja calling pro 42.9mm (1.69) bluetooth ca...,0,0,1,0,0,3,42.9,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/4/v/x/49-edge-lite-silver-002-android-ios-punnkfunnk-yes-original-imahkn2fdzwaeeeh.jpeg?q=70,0,874,1.9,0,0,"punnkfunnk edge-lite | 1.99 "" amoled display | bt calli...",0,1,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/v/z/-original-imahejynggpfptaf.jpeg?q=70,0,1499,1.3,0,0,"goboult dire 1.38'' 2.5d hd display, 500nits brightness...",0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/d/u/44-ultra7strap02-android-ios-hokti-yes-original-imahdeyfhjajfmpb.jpeg?q=70,0,630,0.0,0,0,yash enterprises 7 in 1 smart watch 5g network smartwat...,0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/q/t/43-t900-021-android-ios-vishal-yes-original-imahdmq4zsbg5dyz.jpeg?q=70,0,497,2.0,0,0,"rkls t900 ultra 2.09""big screen bt calling smartwatch w...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/j/o/-original-imahcf2upqp5sdty.jpeg?q=70,0,1099,5.3,0,0,fire-boltt talk 35.3mm (1.39) bluetooth calling with sp...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/4/4/f/49-edge-lite-black-001-android-ios-punnkfunnk-yes-original-imahkz2fpexfvsbf.jpeg?q=70,0,851,1.9,0,0,"punnkfunnk edge-lite | 1.99 "" amoled display | bt calli...",0,1,0,0,0,0,1.8,7
